uid,uniname,pname1_sumfiles,pname2_sumfiles,pname1_sumevery,pname2_sumevery
26,"Devon Energy, USA","Devon Energy, USA","Devon Energy, USA","Devon Energy, USA","Devon Energy, USA"
27,"Ecopetrol, Colombia","Ecopetrol, Colombia","Ecopetrol, Colombia","Ecopetrol, Colombia","Ecopetrol, Colombia"
28,"Egyptian General Petroleum, Egypt","Egyptian General Petroleum, Egypt","Egyptian General Petroleum, Egypt","Egyptian General Petroleum, Egypt","Egyptian General Petroleum, Egypt"
29,"EnCana, Canada","EnCana, Canada","EnCana, Canada","EnCana, Canada","EnCana, Canada"
30,"ENI, Italy","ENI, Italy","ENI, Italy","ENI, Italy","ENI, Italy"
31,"EOG Resources, USA","EOG Resources, USA","EOG Resources, USA","EOG Resources, USA","EOG Resources, USA"
32,"EQT Corporation, USA","EQT Corporation, USA","EQT Corporation, USA","EQT, USA","EQT, USA"
33,"Equinor, Norway","Equinor, Norway","Equinor, Norway","Equinor, Norway","Equinor, Norway"
34,"Exxaro, South Africa","Exxaro, South Africa","Exxaro, South Africa","Exxaro, South Africa","Exxaro, South Africa"
35,"ExxonMobil, USA","ExxonMobil, USA","ExxonMobil, USA","ExxonMobil, USA","ExxonMobil, USA"
36,FSU (Former Soviet Union) (coal oil gas),FSU (Former Soviet Union),FSU (Former Soviet Union),FSU (Former Soviet Union) (coal oil gas),FSU (Former Soviet Union) (coal oil gas)
37,"Gazprom, Russia","Gazprom, Russia","Gazprom, Russia","Gazprom, Russia","Gazprom, Russia"
38,"Glencore, Switzerland","Glencore, Switzerland","Glencore, Switzerland","Glencore, Switzerland","Glencore, Switzerland"
39,"HeidelbergCement, Germany (acq Italcementi)","HeidelbergCement, Germany (acq Italcementi)","HeidelbergCement, Germany","HeidelbergCement, Germany","HeidelbergCement, Germany"
40,"Hess, USA","Hess, USA","Hess, USA","Hess, USA","Hess, USA"
41,"Husky, Canada","Husky, Canada","Husky, Canada","Husky, Canada","Husky, Canada"
42,"Inpex, Japan","Inpex, Japan","Inpex, Japan","Inpex, Japan","Inpex, Japan"
43,"Iraq National Oil Company, Iraq","Iraq National Oil Company, Iraq","Iraq National Oil Company, Iraq","Iraq National Oil Co., Iraq","Iraq National Oil Co., Iraq"
44,Kazakhstan (coal),Kazakhstan,Kazakhstan,Kazakhstan (coal),Kazakhstan (coal)
45,"Kiewit Mining Group, USA","Kiewit Mining Group, USA","Kiewit Mining Group, USA","Kiewit Mining Group, USA","Kiewit Mining Group, USA"
46,"Kuwait Petroleum Corp., Kuwait","Kuwait Petroleum Corp., Kuwait","Kuwait Petroleum Corp., Kuwait","Kuwait Petroleum Corp., Kuwait","Kuwait Petroleum Corp., Kuwait"
47,"LafargeHolcim, France","LafargeHolcim, France","LafargeHolcim, France","LafargeHolcim, France","LafargeHolcim, France"
48,"Libya National Oil Corp., Libya","Libya National Oil Corp., Libya","Libya National Oil Corp., Libya","Libya National Oil Corp., Libya","Libya National Oil Corp., Libya"
49,"Lukoil, Russia","Lukoil, Russia","Lukoil, Russia","Lukoil, Russia","Lukoil, Russia"
50,"Marathon, USA","Marathon, USA","Marathon, USA","Marathon, USA","Marathon, USA"
51,"Murphy Oil, USA","Murphy Oil, USA","Murphy Oil, USA","Murphy Oil, USA","Murphy Oil, USA"
52,"Murray Coal Corporation, USA","Murray Coal Corporation, USA","Murray Coal Corporation, USA","Murray Coal Corporation, USA","Murray Coal, USA"
53,"National Iranian Oil Co., Iran","National Iranian Oil Co., Iran","National Iranian Oil Co., Iran",National Iranian Oil Co.,National Iranian Oil Co.
54,"Nigerian National Petroleum, Nigeria","Nigerian National Petroleum, Nigeria","Nigerian National Petroleum, Nigeria","Nigerian National Petroleum, Nigeria","Nigerian National Petroleum, Nigeria"
55,"Noble Energy, USA","Noble Energy, USA","Noble Energy, USA","Noble Energy, USA","Noble Energy, USA"
56,"North American Coal, USA","North American Coal, US","North American Coal, US","North American Coal, USA","North American Coal, USA"
57,North Korea (coal),North Korea,North Korea,North Korea (coal),North Korea (coal)
58,"Novatek, Russian Federation","Novatek, Russian Federation","Novatek, Russian Federation","Novatek, Russian Federation","Novatek, Russian Federation"
59,"Obsidian, Canada","Obsidian, Canada","Obsidian, Canada","Obsidian, Canada","Obsidian, Canada"
60,"Occidental, USA","Occidental, USA","Occidental, USA","Occidental, USA","Occidental, USA"
61,"Oil and Gas Corp., India","Oil and Gas Corp., India","Oil and Gas Corp., India","Oil & Gas Corp., India","Oil & Gas Corp., India"
62,"OMV Group, Austria","OMV Group, Austria","OMV Group, Austria","OMV Group, Austria","OMV Group, Austria"
63,"Peabody Energy, USA","Peabody Energy, USA","Peabody Energy, USA","Peabody Energy, USA","Peabody Energy, USA"
64,"Pertamina, Indonesia","Pertamina, Indonesia","Pertamina, Indonesia","Pertamina, Indonesia","Pertamina, Indonesia"
65,"Petoro, Norway","Petoro, Norway","Petoro, Norway",Petoro. Norway,Petoro. Norway
66,"PetroChina (CNPC), China","PetroChina (CNPC), China","PetroChina (CNPC), China","PetroChina, China","PetroChina, China"
67,PetroEcuador,PetroEcuador,PetroEcuador,PetroEcuador,PetroEcuador
68,"Petroleo Brasileiro (Petrobras), Brazil","Petrobras, Brazil","Petrobras, Brazil","Petroleo Brasileiro (Petrobras), Brazil","Petroleo Brasileiro (Petrobras), Brazil"
69,"Petroleos de Venezuela (PDVSA), Venezuala","Petroleos de Venezuela, Venezuela","Petroleos de Venezuela, Venezuela",Petroleos de Venezuela (PDVSA),Petroleos de Venezuela (PDVSA)
70,Petroleos Mexicanos (Pemex),"Pemex, Mexico","Pemex, Mexico",Petroleos Mexicanos (Pemex),Petroleos Mexicanos (Pemex)
71,"Petroleum Development Oman, Oman","Petroleum Development Oman, Oman","Petroleum Development Oman, Oman",Petroleum Development Oman,Petroleum Development Oman
72,"Petronas, Malaysia","Petronas, Malaysia","Petronas, Malaysia","Petronas, Malaysia","Petronas, Malaysia"
73,"Pioneer, USA","Pioneer, USA","Pioneer, USA","Pioneer, USA","Pioneer, USA"
74,Poland (coal),Poland,Poland,Poland (coal),Poland (coal)
75,"Polish Oil & Gas Co., Poland","Polish Oil & Gas, Poland","Polish Oil & Gas, Poland","Polish Oil & Gas Co., Poland","Polish Oil & Gas Co., Poland"
76,"PTTEP, Thailand","PTTEP, Thailand","PTTEP, Thailand","PTTEP, Thailand","PTTEP, Thailand"
77,"Qatar Petroleum, Qatar","Qatar Petroleum, Qatar","Qatar Petroleum, Qatar","Qatar Petroleum, Qatar","Qatar Petroleum, Qatar"
78,"Repsol, Spain (acq Talisman May2015)","Repsol, Spain (acq Talisman May2015)","Repsol, Spain (acq Talisman May2015)","Repsol, Spain","Repsol, Spain"
79,"Rio Tinto, UK","Rio Tinto, UK","Rio Tinto, UK","Rio Tinto, UK","Rio Tinto, UK"
80,"Rosneft, Russian Federation","Rosneft, Russian Federation","Rosneft, Russian Federation","Rosneft, Russian Federation","Rosneft, Russian Federation"
81,"Royal Dutch Shell, Netherlands (acq BG Feb16)","Royal Dutch Shell, Netherlands (acq BG Feb16)","Royal Dutch Shell, Netherlands (acq BG Feb16)","Royal Dutch Shell, The Netherlands","Royal Dutch Shell, The Netherlands"
82,"Ruhrkohle AG (RAG), Germany","RAG, Germany","RAG, Germany","Ruhrkohle AG (RAG), Germany","Ruhrkohle AG (RAG), Germany"
83,Russian Federation (excl. FSU) (coal),Russian Federation,Russian Federation,Russian Federation (excl. FSU) (coal),Russian Federation (excl. FSU) (coal)
84,"RWE, Germany","RWE, Germany","RWE, Germany","RWE, Germany","RWE, Germany"
85,"Santos, Australia","Santos, Australia","Santos, Australia","Santos, Australia","Santos, Australia"
86,"Sasol, South Africa","Sasol, South Africa","Sasol, South Africa","Sasol, South Africa","Sasol, South Africa"
87,"Saudi Aramco, Saudi Arabia","Saudi Aramco, Saudi Arabia","Saudi Aramco, Saudi Arabia","Saudi Aramco, Saudi Arabia","Saudi Aramco, Saudi Arabia"
88,"Singareni Collieries, India","Singareni Collieries, India","Singareni Collieries, India","Singareni Collieries, India","Singareni Collieries, India"
89,"Sinopec, China","Sinopec, China","Sinopec, China","Sinopec, China","Sinopec, China"
90,"Sonangol, Angola","Sonangol, Angola","Sonangol, Angola","Sonangol, Angola","Sonangol, Angola"
91,"Sonatrach, Algeria","Sonatrach, Algeria","Sonatrach, Algeria","Sonatrach, Algeria","Sonatrach, Algeria"
92,"Southwestern, USA","Southwestern, USA","Southwestern, USA","Southwestern, USA","Southwestern, USA"
93,"Suncor, Canada","Suncor, Canada","Suncor, Canada","Suncor, Canada","Suncor, Canada"
94,"Syrian Petroleum, Syria","Syrian Petroleum, Syria","Syrian Petroleum, Syria","Syrian Petroleum, Syria","Syrian Petroleum, Syria"
95,"Taiheiyo, Japan","Taiheiyo, Japan","Taiheiyo, Japan","Taiheiyo, Japan","Taiheiyo, Japan"
96,"Teck Resources, Canada","Teck Resources, Canada","Teck Resources, Canada","Teck Resources, Canada","Teck Resources, Canada"
97,"Total, France","Total, France","Total, France","Total, France","Total, France"
98,"TurkmenGaz, Turkmenistan","TurkmenGaz, Turkmenistan","TurkmenGaz, Turkmenistan","TurkmenGaz, Turkmenistan","TurkmenGaz, Turkmenistan"
99,"UK Coal, UK","UK Coal, UK","UK Coal, UK","UK Coal, UK","UK Coal, UK"
100,Ukraine (coal),Ukraine,Ukraine,Ukraine (coal),Ukraine (coal)
101,"Vale, Brazil","Vale, Brazil","Vale, Brazil","Vale, Brazil","Vale, Brazil"
102,"Vistra Luminant, USA","Vistra Luminant, USA","Vistra Luminant, USA","Vistra, USA","Vistra, USA"
103,"Westmoreland Mining, USA","Westmoreland Mining, USA","Westmoreland Mining, USA","Westmoreland, USA","Westmoreland, USA"
104,"Whitehaven Coal, Australia","Whitehaven Coal, Australia","Whitehaven Coal, Australia","Whitehaven Coal, Australia","Whitehaven Coal, Australia"
105,"Wintershall, Germany","Wintershall, Germany","Wintershall, Germany","Wintershall, Germany","Wintershall, Germany"
106,"Woodside, Australia","Woodside, Australia","Woodside, Australia","Woodside, Australia","Woodside, Australia"
107,"YPF, Argentina","YPF, Argentina","YPF, Argentina","YPF, Argentina","YPF, Argentina"
108,"Yukos, Russian Federation","Yukos, Russia","Yukos, Russia","Yukos, Russian Federation","Yukos, Russian Federation"
