uid,uniname,ptype,total,dca_base
88,"Singareni Collieries, India",SOE,2671.2167158770917,0
89,"Sinopec, China",SOE,3589.7960794744668,3589.7960794744668
90,"Sonangol, Angola",SOE,2860.5994567450875,2860.5994567450875
91,"Sonatrach, Algeria",SOE,12699.749373295384,12699.749373295384
92,"Southwestern, USA",IOC,572.280007842802,572.280007842802
93,"Suncor, Canada",IOC,2431.754474305424,2431.754474305424
94,"Syrian Petroleum, Syria",SOE,1557.701648381579,1557.701648381579
95,"Taiheiyo, Japan",IOC,517.7644306353292,0
96,"Teck Resources, Canada",IOC,1337,0
97,"Total, France",IOC,12755.009627404837,12755.009627404837
98,"TurkmenGaz, Turkmenistan",SOE,2915.383906251145,2915.383906251145
99,"UK Coal, UK",IOC,881.9594769328801,0
100,Ukraine (coal),Nation-State,4777.086356393494,0
101,"Vale, Brazil",IOC,251.03416476797003,0
102,"Vistra Luminant, USA",IOC,1337.1240932269725,0
103,"Westmoreland Mining, USA",IOC,1609.988461753847,0
104,"Whitehaven Coal, Australia",IOC,258.16935565812145,0
105,"Wintershall, Germany",IOC,1002.3490221437389,1002.3490221437389
106,"Woodside, Australia",IOC,737.6224535256863,737.6224535256863
107,"YPF, Argentina",SOE,912.0112718138078,912.0112718138078
108,"Yukos, Russian Federation",IOC,2896.1089024563994,2896.1089024563994
